event_type,R²,n_events,dominant_mech,infra_damage,mobility_disrupt,low_impact_lang
CONVECTIVE,0.405,28125,infrastructure_damage,0.897,0.035,0.246
OTHER,0.362,661,infrastructure_damage,0.688,0.145,0.234
WINTER,0.362,390,infrastructure_damage,0.772,0.185,0.21
FLOOD,0.347,5339,infrastructure_damage,0.763,0.326,0.319
TROPICAL,0.296,407,infrastructure_damage,0.948,0.071,0.459
TORNADO,0.276,2218,infrastructure_damage,0.994,0.037,0.647
WIND,0.132,3148,infrastructure_damage,0.726,0.098,0.272
COLD,-0.075,45,infrastructure_damage,0.956,0.022,0.111
DROUGHT,-0.216,340,agricultural_impact,0.553,0.0,0.25
FIRE,-0.728,348,infrastructure_damage,0.468,0.141,0.155
