EVENT_TYPE_MACRO,infrastructure_damage,mobility_disruption,human_impact,geographic_scale,agricultural_impact,low_impact_language
COLD,0.591,0.027,0.324,0.567,0.2,0.015
CONVECTIVE,0.819,0.034,0.076,0.296,0.091,0.245
DROUGHT,0.159,0.002,0.004,0.377,1.0,0.138
FIRE,0.836,0.253,0.339,0.129,0.254,0.257
FLOOD,0.811,0.288,0.105,0.402,0.176,0.321
HEAT,0.248,0.0,0.601,0.66,0.719,0.013
OTHER,0.608,0.097,0.225,0.391,0.237,0.248
TORNADO,0.966,0.032,0.266,0.372,0.273,0.546
TROPICAL,0.939,0.289,0.556,0.57,0.394,0.586
WIND,0.735,0.086,0.141,0.337,0.125,0.254
WINTER,0.646,0.14,0.219,0.531,0.226,0.215
